clavecct,nombrecct,domicilio,numext,entrecalle,ycalle,callepost,codpost,colonia,ncolonia,localidad,municipio,entidad,ambito,longitud,latitud,turno,nturno,tipo,ntipo,nivel,nnivel,subnivel,nsubnivel,servicio,nservicio,control,ncontrol,subcontrol,nsubcontrol,sostenimiento,nsostenimiento
10EDI0003N,"CARMEN ROMANO DE LÓPEZ PORTILLO","LERDO S/N",SN,MORELOS,"","",34210,0033,"BARRIO DE TIERRA BLANCA",0001,005,10,URBANO,-104.676461,24.015972,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,21,ESTATAL
10EDI0004M,"CENDI SECCIÓN 44 SNTE","PROF. ENRIQUE REBSAMEN S/N",SN,"","","",34000,0103,"FRACCIONAMIENTO GRANJA GRACIELA",0001,005,10,URBANO,-104.657384,24.000237,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,21,ESTATAL
10UDI0001G,"ESTANCIA INFANTIL DEL STEUJED","AVENIDA UNIVERSIDAD S/N",SN,"MASCAREÑAS","PINO SUÁREZ","",34000,0283,"COLONIA ZONA CENTRO",0001,005,10,URBANO,-104.6887,24.015738,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",01,"LACTANTE Y MATERNAL",1,"PÚBLICO",3,"AUTÓNOMO",51,"AUTÓNOMO"
10DDI0001Q,"CENTRO DE DESARROLLO INFANTIL EL VOLUNTARIADO-SEP","LAZARO CARDENAS NÚM. 1102 SUR","","PROLONGACIÓN CANELAS","BOULEVARD DOLORES DEL RÍO","",34000,0056,"COLONIA CIENEGA",0001,005,10,URBANO,-104.651911,24.017716,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DDI0002P,"CENTRO DE DESARROLLO INFANTIL DE LA SECRETARIA DE EDUCACIÓN PÚBLICA","MARIANO ARRIETA S/N",SN,"MANUEL GUTIÉRREZ","AVENIDA DIVISIÓN DURANGO","",34180,0101,"FRACCIONAMIENTO GENERAL DOMINGO ARRIETA",0001,005,10,URBANO,-104.664636,23.994066,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DDI0005M,"CENTRO DE DESARROLLO INFANTIL DE LA SECRETARIA DE EDUCACIÓN PÚBLICA","PRIVADA MARGARITA GÓMEZ PALACIO S/N",SN,"","","",35150,0050,"COLONIA NIÑOS HEROES",0001,012,10,URBANO,-103.515409,25.550555,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DDI0006L,"CENTRO DE DESARROLLO INFANTIL NÚM. 4","FUENTE DEL DESCANSO S/N",SN,"","","",35180,0098,"FRACCIONAMIENTO LAS FUENTES",0001,005,10,URBANO,-104.617824,24.044739,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DDI0007K,"CENTRO DE DESARROLLO INFANTIL JOSÉ REVUELTAS","DOROTEO ARANGO S/N",SN,INDEPENDENCIA,"","",35180,0132,"COLONIA JOSE REVUELTAS",0001,005,10,URBANO,-104.644897,24.048274,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DDI0008J,"CENTRO DE DESARROLLO INFANTIL NÚM. 5","PROLONGACIÓN NAZAS S/N",SN,"INTEGRACIÓN","NUEVO DURANGO","",34169,0369,"FRACCIONAMIENTO NUEVO DURANGO",0001,005,10,URBANO,-104.642294,24.001685,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",01,"LACTANTE Y MATERNAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10NDI0002W,"GUARDERIA INFANTIL ESTHER ZUNO DE ECHEVERRÍA","SABINO S/N",SN,"","","",34000,0250,"COLONIA SANTA MARIA",0001,005,10,URBANO,-104.654444,24.022778,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",03,"LACTANTE, MATERNAL Y PREESCOLAR",1,"PÚBLICO",1,FEDERAL,30,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO"
10PDI0041W,"ESTANCIA INFANTIL Y JARDÍN DE NIÑOS SAN BENITO","CALLE YUCATÁN NÚM. 118 OTE","",VICTORIA,HIDALGO,VERACRUZ,35090,0059,"COLONIA LAS ROSAS",0001,007,10,URBANO,-103.498333,25.561111,1,MATUTINO,1,"EDUCACION BASICA",11,PREESCOLAR,040,"PREESCOLAR CENDI",01,"LACTANTE Y MATERNAL",2,PRIVADO,6,PARTICULAR,61,PARTICULAR
10DIN0002W,UBIXCHAUMATIM,CONOCIDO,"","","","",34990,"","",0019,014,10,RURAL,-104.525,22.864444,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",02,"EDUCACION INICIAL INDIGENA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
